수행시각,뽑기ID,아이템명,etc_json,뽑기횟수,뽑기확률(%),기대확률(%),오차(%)
2023-02-15 12:13,300008,길가메쉬 아처,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",142,0.0142,0.0134,5.9701
2023-02-15 12:13,300008,바바리안,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",144,0.0144,0.0134,7.4627
2023-02-15 12:13,300008,에리세드,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",138,0.0138,0.0134,2.9851
2023-02-15 12:13,300008,글래디에이터,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",98,0.0098,0.0134,26.8657
2023-02-15 12:13,300008,아크데몬,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",135,0.0135,0.0134,0.7463
2023-02-15 12:13,300008,아수라,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",128,0.0128,0.0134,4.4776
2023-02-15 12:13,300008,헤라클레스,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",122,0.0122,0.0134,8.9552
2023-02-15 12:13,300008,라르카 집정관,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",129,0.0129,0.0134,3.7313
2023-02-15 12:13,300008,리치 킹,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",149,0.0149,0.0134,11.194
2023-02-15 12:13,300008,황천의 기사,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",143,0.0143,0.0134,6.7164
2023-02-15 12:13,300008,황천의 레인저,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",133,0.0133,0.0134,0.7463
2023-02-15 12:13,300008,렉스,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",123,0.0123,0.0134,8.209
2023-02-15 12:13,300009,코볼트,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39264,3.9264,3.9575,0.7858
2023-02-15 12:13,300009,하피,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39380,3.938,3.9575,0.4927
2023-02-15 12:13,300009,놀 병사,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39700,3.97,3.9575,0.3159
2023-02-15 12:13,300009,오크,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39389,3.9389,3.9575,0.47
2023-02-15 12:13,300009,그렘린,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39988,3.9988,3.9575,1.0436
2023-02-15 12:13,300009,홉 고블린,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39793,3.9793,3.9575,0.5509
2023-02-15 12:13,300009,용아병,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39709,3.9709,3.9575,0.3386
2023-02-15 12:13,300009,좀비,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39598,3.9598,3.9575,0.0581
2023-02-15 12:13,300009,버섯돌이,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39815,3.9815,3.9575,0.6064
2023-02-15 12:13,300009,콜로복,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39382,3.9382,3.9575,0.4877
2023-02-15 12:13,300009,선인장,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39501,3.9501,3.9575,0.187
2023-02-15 12:13,300009,갈색 곰,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39607,3.9607,3.9575,0.0809
2023-02-15 12:13,300009,놀 아처,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39468,3.9468,3.9574,0.2679
2023-02-15 12:13,300009,코볼트 아처,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39618,3.9618,3.9574,0.1112
2023-02-15 12:13,300009,식인늑대,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39483,3.9483,3.9574,0.2299
2023-02-15 12:13,300009,리자드맨,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39518,3.9518,3.9574,0.1415
2023-02-15 12:13,300009,군,"{""value"":{""DrawGroupNo"":10009,""Rarity"":0}}",39681,3.9681,3.9574,0.2704
